enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
2156,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,7.0,10000.0,Pvt Ltd,0.0,23,1.0
11399,city_13,0.8270000000000001,Female,Has relevent experience,no_enrollment,Graduate,Arts,4.0,,,1.0,132,1.0
31972,city_159,0.843,Male,Has relevent experience,no_enrollment,Masters,STEM,11.0,500.0,Pvt Ltd,1.0,68,0.0
19061,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,11.0,500.0,Pvt Ltd,2.0,50,0.0
6491,city_102,0.804,,Has relevent experience,no_enrollment,Masters,STEM,10.0,,,1.0,48,0.0
7041,city_40,0.7759999999999999,Male,Has relevent experience,no_enrollment,Graduate,Humanities,0.0,4999.0,Pvt Ltd,1.0,65,0.0
22767,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,5.0,4999.0,Pvt Ltd,1.0,13,0.0
14505,city_67,0.855,,No relevent experience,no_enrollment,High School,,4.0,,,0.0,22,0.0
17139,city_21,0.624,,Has relevent experience,Part time course,Graduate,STEM,14.0,999.0,Pvt Ltd,1.0,148,1.0
28476,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,5.0,,,2.0,72,0.0
21538,city_100,0.887,Male,Has relevent experience,no_enrollment,High School,,11.0,10.0,Pvt Ltd,1.0,8,1.0
10408,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,18.0,99.0,Funded Startup,2.0,68,1.0
14928,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.0,500.0,Pvt Ltd,3.0,40,0.0
22293,city_103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,19.0,9999.0,Pvt Ltd,5.0,141,0.0
4324,city_103,0.92,Female,No relevent experience,Full time course,Graduate,STEM,5.0,,,1.0,24,0.0
26966,city_160,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,21.0,500.0,Pvt Ltd,5.0,82,0.0
26494,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,12.0,9999.0,Pvt Ltd,3.0,145,0.0
4866,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10.0,49.0,Early Stage Startup,2.0,206,0.0
12726,city_114,0.926,Male,No relevent experience,Part time course,High School,,1.0,10000.0,Other,1.0,152,0.0
10164,city_114,0.926,Male,Has relevent experience,no_enrollment,Phd,STEM,21.0,500.0,Pvt Ltd,4.0,42,1.0
8612,city_103,0.92,,No relevent experience,no_enrollment,Graduate,STEM,12.0,,,4.0,50,0.0
24659,city_71,0.884,Male,No relevent experience,no_enrollment,,,3.0,,,0.0,106,0.0
2547,city_114,0.926,Female,Has relevent experience,Full time course,Masters,STEM,16.0,4999.0,Public Sector,2.0,14,0.0
13854,city_104,0.924,Male,Has relevent experience,no_enrollment,High School,,4.0,49.0,Pvt Ltd,2.0,36,0.0
31654,city_21,0.624,,Has relevent experience,no_enrollment,Masters,STEM,6.0,99.0,Early Stage Startup,1.0,112,1.0
13643,city_64,0.6659999999999999,,No relevent experience,no_enrollment,Graduate,No Major,9.0,99.0,Pvt Ltd,0.0,108,0.0
5590,city_21,0.624,Male,Has relevent experience,Part time course,Masters,STEM,9.0,9999.0,Pvt Ltd,3.0,7,1.0
22452,city_21,0.624,Female,No relevent experience,Full time course,Masters,STEM,5.0,,,0.0,26,1.0
9006,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5.0,500.0,Pvt Ltd,0.0,87,1.0
25987,city_103,0.92,Other,Has relevent experience,no_enrollment,Graduate,STEM,19.0,10000.0,Public Sector,4.0,52,1.0
4476,city_101,0.5579999999999999,Male,Has relevent experience,no_enrollment,Graduate,No Major,15.0,,,5.0,20,1.0
25103,city_83,0.923,Male,Has relevent experience,no_enrollment,Graduate,STEM,11.0,49.0,Pvt Ltd,1.0,21,0.0
5568,city_101,0.5579999999999999,Male,No relevent experience,no_enrollment,Graduate,STEM,4.0,,,1.0,92,1.0
2195,city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,10.0,500.0,Pvt Ltd,2.0,102,0.0
30533,city_105,0.794,Male,No relevent experience,no_enrollment,Graduate,Humanities,5.0,10000.0,Pvt Ltd,5.0,26,0.0
28512,city_104,0.924,,Has relevent experience,no_enrollment,Masters,STEM,3.0,10.0,Early Stage Startup,2.0,7,0.0
1023,city_114,0.926,Male,No relevent experience,Full time course,High School,,4.0,10000.0,Pvt Ltd,1.0,43,0.0
12253,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.0,500.0,Pvt Ltd,1.0,45,0.0
25296,city_73,0.754,Male,Has relevent experience,Full time course,Graduate,STEM,2.0,99.0,Early Stage Startup,2.0,52,0.0
13238,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.0,,,2.0,19,0.0
13478,city_21,0.624,,Has relevent experience,Full time course,Graduate,STEM,2.0,49.0,Funded Startup,,32,1.0
18578,city_162,0.767,Male,Has relevent experience,no_enrollment,Graduate,Humanities,21.0,500.0,Pvt Ltd,5.0,26,1.0
29975,city_67,0.855,Male,Has relevent experience,Part time course,Graduate,STEM,6.0,,,1.0,90,0.0
26516,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,6.0,500.0,Pvt Ltd,3.0,25,0.0
24690,city_41,0.8270000000000001,,Has relevent experience,,Masters,STEM,13.0,10.0,,1.0,15,0.0
8433,city_100,0.887,Male,Has relevent experience,no_enrollment,Masters,Humanities,21.0,500.0,Pvt Ltd,5.0,48,0.0
9572,city_11,0.55,,No relevent experience,Full time course,High School,,3.0,,,,98,0.0
5878,city_93,0.865,Male,Has relevent experience,no_enrollment,Graduate,STEM,10.0,99.0,Pvt Ltd,2.0,142,1.0
25695,city_67,0.855,Other,No relevent experience,no_enrollment,Masters,Humanities,4.0,10000.0,Pvt Ltd,4.0,13,0.0
9645,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,15.0,,,5.0,47,0.0
12730,city_16,0.91,Female,Has relevent experience,no_enrollment,Masters,Humanities,14.0,999.0,Public Sector,1.0,28,0.0
4830,city_90,0.698,,No relevent experience,,,,2.0,,Pvt Ltd,0.0,228,1.0
20970,city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.0,,,4.0,22,0.0
17271,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,0.0,,,0.0,18,1.0
12731,city_13,0.8270000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,2.0,49.0,Pvt Ltd,1.0,29,0.0
10908,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,5.0,500.0,,1.0,46,0.0
29117,city_11,0.55,,No relevent experience,Full time course,Graduate,STEM,0.0,,,0.0,12,0.0
3686,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,5.0,500.0,Pvt Ltd,2.0,17,0.0
22683,city_36,0.893,Male,Has relevent experience,no_enrollment,Masters,STEM,5.0,99.0,Pvt Ltd,2.0,65,0.0
22134,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,Humanities,3.0,500.0,Pvt Ltd,1.0,35,0.0
31765,city_67,0.855,Male,No relevent experience,Full time course,Graduate,STEM,9.0,10000.0,Pvt Ltd,3.0,14,0.0
31449,city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,2.0,10.0,Early Stage Startup,1.0,4,0.0
5987,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15.0,99.0,Pvt Ltd,5.0,12,0.0
21762,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.0,99.0,Pvt Ltd,2.0,108,0.0
22070,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,21.0,,,1.0,136,0.0
25413,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5.0,49.0,,1.0,27,0.0
5902,city_20,0.7959999999999999,,Has relevent experience,Part time course,Masters,STEM,4.0,99.0,Funded Startup,1.0,74,0.0
28403,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,15.0,49.0,Early Stage Startup,1.0,86,0.0
30937,city_57,0.866,Female,No relevent experience,Part time course,Graduate,STEM,0.0,49.0,Pvt Ltd,2.0,83,0.0
28751,city_103,0.92,,No relevent experience,Full time course,High School,,4.0,,,3.0,75,0.0
29290,city_152,0.698,Male,No relevent experience,Full time course,Masters,STEM,11.0,,Public Sector,2.0,42,0.0
32401,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,6.0,500.0,,1.0,332,0.0
19128,city_61,0.913,Male,No relevent experience,Full time course,Graduate,STEM,4.0,,,,140,0.0
29036,city_16,0.91,Male,No relevent experience,no_enrollment,High School,,3.0,,,0.0,182,0.0
16869,city_103,0.92,Female,No relevent experience,no_enrollment,Graduate,Humanities,3.0,500.0,Pvt Ltd,1.0,13,1.0
10497,city_19,0.682,,Has relevent experience,no_enrollment,Graduate,STEM,5.0,49.0,Pvt Ltd,2.0,172,1.0
18099,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,10.0,500.0,NGO,1.0,48,0.0
12081,city_65,0.802,Male,Has relevent experience,Full time course,Graduate,STEM,9.0,99.0,Pvt Ltd,1.0,33,0.0
7364,city_160,0.92,,No relevent experience,Full time course,High School,,2.0,500.0,Pvt Ltd,1.0,142,0.0
11184,city_74,0.579,,No relevent experience,Full time course,Graduate,STEM,2.0,500.0,Pvt Ltd,1.0,34,0.0
7016,city_65,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,6.0,99.0,Pvt Ltd,2.0,14,1.0
8695,city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,6.0,49.0,Pvt Ltd,2.0,27,1.0
6172,city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,8.0,500.0,Pvt Ltd,1.0,24,1.0
14672,city_173,0.878,,No relevent experience,no_enrollment,Masters,STEM,21.0,,,1.0,150,0.0
18257,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,11.0,999.0,NGO,5.0,20,0.0
24493,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,5.0,999.0,,1.0,140,0.0
1180,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,12.0,9999.0,Pvt Ltd,1.0,52,0.0
28627,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.0,99.0,Pvt Ltd,2.0,160,0.0
8168,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,9.0,9999.0,Pvt Ltd,2.0,3,0.0
10473,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,2.0,10.0,Pvt Ltd,2.0,2,1.0
25349,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.0,4999.0,Pvt Ltd,5.0,28,0.0
5220,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,Other,21.0,,,4.0,46,0.0
4789,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,8.0,99.0,Pvt Ltd,1.0,210,0.0
11338,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,10.0,10.0,Pvt Ltd,1.0,36,0.0
27963,city_98,0.949,Male,No relevent experience,Full time course,Graduate,STEM,4.0,,,1.0,160,1.0
8571,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,2.0,49.0,NGO,2.0,101,0.0
16303,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,6.0,99.0,,1.0,46,0.0
20576,city_97,0.925,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.0,4999.0,Pvt Ltd,5.0,19,0.0
32966,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,3.0,500.0,Pvt Ltd,2.0,26,1.0
21199,city_90,0.698,,Has relevent experience,Full time course,Graduate,STEM,7.0,10.0,NGO,1.0,90,0.0
18819,city_50,0.8959999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,9.0,10.0,Pvt Ltd,4.0,59,0.0
14199,city_160,0.92,Male,Has relevent experience,Part time course,Graduate,Business Degree,10.0,99.0,Funded Startup,1.0,260,0.0
7666,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,11.0,99.0,Pvt Ltd,5.0,74,0.0
13915,city_16,0.91,Male,Has relevent experience,no_enrollment,Phd,STEM,21.0,500.0,Pvt Ltd,2.0,20,1.0
10555,city_173,0.878,Male,Has relevent experience,no_enrollment,Graduate,STEM,12.0,500.0,Pvt Ltd,2.0,8,0.0
16040,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6.0,500.0,Pvt Ltd,1.0,131,0.0
32826,city_138,0.836,Male,Has relevent experience,Full time course,Masters,STEM,7.0,,,1.0,45,0.0
13253,city_82,0.693,Male,Has relevent experience,Full time course,Graduate,STEM,11.0,49.0,Pvt Ltd,2.0,109,0.0
15637,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,Humanities,3.0,500.0,Pvt Ltd,1.0,70,0.0
28074,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,21.0,500.0,NGO,5.0,17,0.0
23012,city_103,0.92,Female,No relevent experience,no_enrollment,Masters,STEM,15.0,99.0,Pvt Ltd,1.0,51,0.0
16110,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,6.0,99.0,Pvt Ltd,3.0,60,1.0
3921,city_36,0.893,,No relevent experience,no_enrollment,Phd,STEM,21.0,4999.0,Public Sector,5.0,4,0.0
24530,city_114,0.926,Male,No relevent experience,no_enrollment,Graduate,STEM,12.0,500.0,Pvt Ltd,5.0,7,0.0
1924,city_102,0.804,,Has relevent experience,no_enrollment,Masters,STEM,21.0,500.0,Pvt Ltd,3.0,164,0.0
32776,city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,20.0,,,4.0,290,0.0
1907,city_102,0.804,Male,No relevent experience,no_enrollment,High School,,2.0,10.0,NGO,0.0,145,0.0
23947,city_103,0.92,,No relevent experience,no_enrollment,Phd,STEM,,,,,70,0.0
3116,city_21,0.624,Male,No relevent experience,no_enrollment,,,3.0,,,1.0,24,0.0
24829,city_103,0.92,Male,No relevent experience,no_enrollment,Masters,Humanities,3.0,10000.0,Pvt Ltd,1.0,133,1.0
30488,city_11,0.55,,No relevent experience,Full time course,Graduate,STEM,2.0,,,1.0,20,0.0
1265,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10.0,10.0,Funded Startup,1.0,76,0.0
22098,city_90,0.698,Female,No relevent experience,Full time course,Masters,STEM,5.0,,,4.0,21,1.0
13342,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,Other,8.0,9999.0,Pvt Ltd,2.0,34,0.0
24608,city_160,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,9.0,10.0,Pvt Ltd,2.0,15,0.0
20081,city_57,0.866,Male,No relevent experience,no_enrollment,Graduate,STEM,21.0,,,5.0,156,0.0
24796,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.0,9999.0,Pvt Ltd,5.0,15,0.0
7777,city_114,0.926,,Has relevent experience,no_enrollment,Masters,STEM,21.0,,,0.0,120,0.0
22718,city_157,0.769,,Has relevent experience,no_enrollment,Graduate,No Major,14.0,10000.0,,5.0,47,0.0
1261,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,12.0,,,2.0,100,1.0
3396,city_67,0.855,Male,Has relevent experience,Part time course,Graduate,STEM,6.0,999.0,Pvt Ltd,0.0,102,0.0
4283,city_103,0.92,Male,No relevent experience,no_enrollment,High School,,4.0,,,0.0,52,0.0
18998,city_114,0.926,,Has relevent experience,no_enrollment,High School,,9.0,49.0,,4.0,39,0.0
2003,city_103,0.92,Male,Has relevent experience,Full time course,High School,,4.0,,,1.0,112,1.0
31786,city_103,0.92,Male,No relevent experience,no_enrollment,Phd,STEM,21.0,99.0,Pvt Ltd,5.0,14,0.0
8241,city_16,0.91,,Has relevent experience,no_enrollment,,,11.0,,,1.0,4,0.0
12154,city_16,0.91,,Has relevent experience,no_enrollment,Masters,Arts,21.0,4999.0,NGO,5.0,55,0.0
23455,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6.0,10000.0,Pvt Ltd,4.0,49,1.0
19882,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,15.0,,,5.0,72,0.0
28817,city_89,0.925,Male,Has relevent experience,Full time course,Graduate,STEM,14.0,9999.0,Pvt Ltd,3.0,141,1.0
4656,city_114,0.926,Male,No relevent experience,no_enrollment,High School,,6.0,,Pvt Ltd,0.0,28,0.0
7280,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13.0,10000.0,Pvt Ltd,1.0,6,0.0
16903,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,No Major,17.0,9999.0,Pvt Ltd,1.0,125,0.0
13333,city_75,0.939,,Has relevent experience,no_enrollment,Graduate,STEM,21.0,,,0.0,326,0.0
26241,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Other,21.0,500.0,Pvt Ltd,2.0,33,0.0
12381,city_102,0.804,,No relevent experience,no_enrollment,Masters,STEM,6.0,10000.0,Pvt Ltd,5.0,40,0.0
4064,city_160,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,18.0,,,1.0,198,1.0
32092,city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,15.0,10000.0,Pvt Ltd,5.0,55,0.0
3766,city_150,0.698,Male,No relevent experience,no_enrollment,Graduate,STEM,21.0,999.0,Pvt Ltd,5.0,32,0.0
30496,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,21.0,500.0,Pvt Ltd,5.0,11,0.0
7189,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.0,10.0,Pvt Ltd,1.0,41,0.0
29497,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,21.0,10000.0,Public Sector,5.0,87,1.0
31593,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,10.0,500.0,Pvt Ltd,4.0,114,0.0
12384,city_70,0.698,,Has relevent experience,,,,21.0,,,5.0,33,0.0
11986,city_90,0.698,Male,Has relevent experience,Part time course,Masters,STEM,5.0,10.0,Early Stage Startup,1.0,15,0.0
31033,city_16,0.91,,No relevent experience,Full time course,High School,,3.0,,,1.0,8,0.0
14835,city_173,0.878,Female,Has relevent experience,Part time course,High School,,2.0,500.0,NGO,1.0,22,0.0
3728,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,21.0,9999.0,Pvt Ltd,4.0,13,0.0
3024,city_98,0.949,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.0,10.0,Public Sector,1.0,246,0.0
23508,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,9.0,49.0,Pvt Ltd,1.0,22,0.0
29457,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,21.0,10.0,Funded Startup,1.0,81,0.0
12297,city_175,0.7759999999999999,,Has relevent experience,Full time course,Graduate,STEM,4.0,49.0,Funded Startup,1.0,11,0.0
27708,city_94,0.698,Male,No relevent experience,Full time course,Graduate,STEM,5.0,9999.0,,,24,1.0
3065,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.0,500.0,Funded Startup,1.0,50,0.0
29226,city_104,0.924,Male,No relevent experience,Full time course,High School,,6.0,,,0.0,15,0.0
5493,city_28,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,21.0,49.0,Pvt Ltd,5.0,31,0.0
2891,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,21.0,99.0,Pvt Ltd,0.0,84,0.0
32509,city_136,0.897,Male,Has relevent experience,Part time course,Graduate,STEM,4.0,10000.0,Pvt Ltd,1.0,42,0.0
31841,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,10.0,49.0,Pvt Ltd,5.0,105,1.0
907,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,21.0,99.0,Pvt Ltd,5.0,72,0.0
29526,city_115,0.789,Male,Has relevent experience,no_enrollment,Graduate,STEM,14.0,49.0,Pvt Ltd,5.0,42,1.0
10956,city_94,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,15.0,99.0,Early Stage Startup,1.0,152,0.0
26099,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,12.0,10000.0,Pvt Ltd,1.0,60,0.0
26163,city_21,0.624,Male,No relevent experience,Full time course,Masters,STEM,2.0,,,0.0,8,0.0
4120,city_16,0.91,Male,No relevent experience,Full time course,Masters,STEM,13.0,,,3.0,17,1.0
7335,city_83,0.923,Male,No relevent experience,no_enrollment,High School,,1.0,,,1.0,33,0.0
706,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,4.0,500.0,Funded Startup,0.0,38,0.0
9890,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,14.0,10.0,Early Stage Startup,2.0,178,0.0
32683,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15.0,99.0,Pvt Ltd,1.0,11,0.0
27104,city_36,0.893,Male,Has relevent experience,no_enrollment,High School,,21.0,,,0.0,87,0.0
7731,city_65,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,13.0,,,0.0,84,0.0
31943,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.0,500.0,Early Stage Startup,2.0,32,0.0
22899,city_100,0.887,,Has relevent experience,no_enrollment,Masters,STEM,9.0,500.0,Pvt Ltd,1.0,31,1.0
33339,city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,2.0,999.0,Public Sector,1.0,39,0.0
20866,city_59,0.775,,Has relevent experience,no_enrollment,Graduate,STEM,7.0,49.0,Pvt Ltd,1.0,12,0.0
21634,city_21,0.624,,Has relevent experience,Full time course,Graduate,STEM,5.0,10000.0,Pvt Ltd,1.0,50,0.0
29529,city_165,0.903,Male,Has relevent experience,no_enrollment,Graduate,STEM,3.0,500.0,Pvt Ltd,1.0,55,1.0
4478,city_11,0.55,,Has relevent experience,no_enrollment,Graduate,STEM,5.0,99.0,Pvt Ltd,,7,1.0
32095,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Humanities,2.0,99.0,Early Stage Startup,1.0,104,0.0
18272,city_160,0.92,,Has relevent experience,Full time course,Graduate,Business Degree,21.0,,,5.0,90,1.0
30098,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Other,21.0,500.0,Pvt Ltd,5.0,8,0.0
23825,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,2.0,,,0.0,102,0.0
7672,city_21,0.624,,Has relevent experience,no_enrollment,Masters,STEM,0.0,49.0,Pvt Ltd,1.0,202,1.0
5633,city_145,0.555,,Has relevent experience,no_enrollment,Graduate,STEM,4.0,500.0,Pvt Ltd,1.0,22,0.0
30695,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,3.0,,Pvt Ltd,0.0,42,0.0
5573,city_160,0.92,,No relevent experience,no_enrollment,Primary School,,4.0,,Pvt Ltd,0.0,50,0.0
24936,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,3.0,99.0,Funded Startup,1.0,88,0.0
397,city_73,0.754,,Has relevent experience,no_enrollment,Graduate,STEM,5.0,4999.0,Pvt Ltd,4.0,81,0.0
31602,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,21.0,10000.0,Pvt Ltd,1.0,7,0.0
5278,city_21,0.624,Male,No relevent experience,no_enrollment,,,3.0,,Pvt Ltd,0.0,218,0.0
16814,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.0,10000.0,Pvt Ltd,5.0,62,0.0
19249,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6.0,99.0,Pvt Ltd,1.0,83,0.0
9475,city_28,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,9.0,4999.0,Pvt Ltd,5.0,11,0.0
4865,city_114,0.926,Male,No relevent experience,Part time course,Phd,STEM,21.0,99.0,,5.0,10,0.0
20881,city_28,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,10.0,4999.0,Pvt Ltd,1.0,114,0.0
21563,city_21,0.624,,Has relevent experience,no_enrollment,Masters,STEM,3.0,99.0,Pvt Ltd,1.0,36,0.0
25114,city_102,0.804,,No relevent experience,,Masters,STEM,6.0,49.0,Pvt Ltd,1.0,17,0.0
26002,city_16,0.91,Male,No relevent experience,Full time course,Graduate,STEM,2.0,,,0.0,80,1.0
8528,city_160,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,21.0,99.0,Public Sector,5.0,108,0.0
6141,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,2.0,500.0,Pvt Ltd,2.0,45,0.0
27667,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,5.0,,,0.0,77,0.0
2821,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,15.0,500.0,Pvt Ltd,2.0,8,0.0
21216,city_173,0.878,,No relevent experience,no_enrollment,Graduate,STEM,5.0,,,1.0,28,0.0
25495,city_142,0.727,Female,Has relevent experience,no_enrollment,Graduate,STEM,9.0,500.0,Funded Startup,5.0,37,0.0
20791,city_16,0.91,,No relevent experience,Full time course,Graduate,STEM,2.0,,,2.0,108,1.0
