id,service_a,service_b,service_c,service_d,service_e,service_f,service_g,service_h,service_i,service_j,service_k,service_l,service_m,service_n
114,0,0,0,0,0,0,0,1,0,1,1,0,0,0
6649,1,1,1,1,1,0,1,0,0,1,1,1,1,1
9781,1,1,0,0,0,0,0,0,0,1,1,0,0,0
10754,1,1,0,0,0,0,0,0,0,1,1,0,0,0
1957,1,1,1,0,0,0,0,0,0,1,1,0,0,0
14977,0,0,1,0,0,0,1,1,1,1,0,0,0,1
1276,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17544,0,1,1,0,1,0,0,1,0,1,1,1,1,1
18094,0,0,1,0,0,0,0,1,0,1,1,1,1,0
11646,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12089,1,1,1,0,0,0,0,1,0,1,1,0,0,0
14373,0,0,0,0,0,0,0,0,0,1,1,0,0,0
6905,1,0,0,0,0,0,0,0,0,1,1,0,0,0
14532,1,1,1,0,0,0,0,0,0,0,0,0,0,0
13774,0,1,0,0,0,0,0,0,0,1,1,0,0,0
4573,1,0,0,0,0,0,0,1,0,1,1,0,0,0
3016,1,0,0,0,0,0,0,0,0,1,1,0,0,0
13585,0,0,1,0,0,0,0,0,0,0,0,0,0,1
15235,1,0,1,0,0,1,1,1,0,1,1,0,0,0
18039,1,1,0,0,0,0,0,1,1,0,0,0,0,1
4291,0,0,0,0,0,0,0,0,0,1,1,0,0,0
9168,0,0,0,0,0,0,0,0,0,1,1,0,0,0
6990,0,0,0,0,0,0,0,1,0,1,1,1,0,0
15983,0,0,0,0,0,0,0,0,0,1,1,0,0,0
8166,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1588,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3678,0,0,0,0,0,0,0,0,0,1,1,0,0,0
8577,0,0,0,0,0,0,0,0,0,1,1,0,0,0
17435,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2377,1,0,0,0,1,0,0,0,0,1,1,0,0,0
2779,0,0,0,0,0,0,0,0,0,1,1,0,0,0
15144,1,1,0,0,0,0,0,0,0,1,0,0,0,0
8757,1,0,0,0,0,0,0,0,0,1,1,0,0,0
12611,0,1,1,0,0,0,1,1,0,1,1,1,1,0
6060,0,0,0,0,0,0,0,0,0,1,1,0,0,0
4064,1,1,1,0,0,0,0,0,0,1,1,0,0,0
17686,1,0,0,0,0,0,0,0,0,1,1,0,0,0
11708,1,1,0,0,0,0,0,1,0,1,1,0,0,0
15334,1,1,1,0,0,0,1,0,0,1,1,0,0,1
4328,1,0,1,0,1,0,0,1,0,1,1,1,1,1
13636,0,0,0,0,0,0,0,0,0,1,1,0,0,0
16615,0,0,1,1,1,0,0,0,0,1,1,0,1,0
5783,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7449,0,1,1,0,0,0,0,0,0,1,1,0,0,0
13056,0,1,1,0,0,0,0,0,0,1,1,1,1,1
17687,0,1,1,0,0,0,0,1,0,1,0,0,0,1
5052,1,1,1,0,0,0,0,0,0,1,1,0,0,0
519,1,1,1,0,0,0,0,1,0,1,1,1,1,0
16161,0,0,0,0,0,0,0,0,0,1,1,0,0,0
13759,1,0,1,0,0,1,1,0,0,1,1,0,0,0
4642,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3950,1,0,1,0,0,0,0,1,0,1,1,0,0,0
14543,0,0,0,0,0,0,0,0,0,1,1,0,0,1
10355,1,0,0,0,0,0,0,0,0,1,1,0,0,0
1180,1,0,0,0,0,0,0,1,0,1,1,0,0,0
12543,1,1,1,0,0,0,0,0,0,1,1,0,0,0
2375,0,0,0,0,1,0,0,0,0,1,1,0,0,0
16055,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15898,1,1,1,0,0,0,0,0,0,1,1,0,0,0
2289,0,0,0,0,0,0,0,1,0,1,1,0,0,0
7825,1,0,1,0,0,0,0,1,0,1,1,1,1,0
5089,1,0,0,0,0,0,0,1,0,1,0,0,0,0
3751,1,1,0,1,1,0,0,0,0,0,0,0,0,0
438,0,0,1,0,0,1,0,0,0,1,1,0,0,0
14247,0,0,0,0,0,0,0,0,0,1,1,0,0,0
528,1,0,1,0,0,0,0,1,0,1,0,0,0,1
17380,0,0,0,0,0,0,0,0,0,1,1,0,0,0
13434,1,1,0,0,0,0,0,0,0,1,0,0,0,0
5269,0,0,1,0,0,0,0,0,0,1,1,0,0,1
5190,1,0,0,0,0,0,0,0,0,1,1,0,0,1
6404,0,0,0,0,0,0,0,0,0,1,1,0,0,0
4075,1,1,0,0,0,0,0,0,0,1,1,0,0,0
10197,0,0,0,0,0,0,0,0,0,1,1,0,0,0
3763,0,0,0,0,0,0,0,0,0,1,1,0,0,0
8697,1,1,0,0,0,0,0,1,0,1,1,0,0,0
13559,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1869,1,0,0,0,0,0,0,1,0,1,1,0,0,0
5507,1,1,1,0,0,0,0,0,0,1,1,0,0,0
7734,1,1,0,0,0,0,0,0,0,1,1,0,0,0
16885,0,0,0,0,0,0,0,0,0,1,1,0,0,1
1143,0,0,0,0,0,0,0,0,0,1,1,0,0,0
10125,1,1,0,0,0,0,0,1,0,1,1,0,0,0
7661,0,0,0,0,0,0,0,1,0,1,1,0,0,1
16062,1,0,0,0,0,0,0,0,0,1,1,0,0,0
10524,0,0,0,0,0,0,0,0,0,1,1,0,0,0
4742,1,0,1,0,0,0,0,1,1,1,1,0,0,0
4465,0,0,0,0,0,0,0,0,0,1,1,0,0,0
7120,1,1,1,0,0,0,0,0,0,1,1,0,0,0
8826,1,1,0,0,0,0,0,0,0,1,1,0,0,0
15054,1,1,0,0,0,0,0,1,0,0,0,0,0,1
18281,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7871,0,0,0,0,0,0,0,1,0,1,1,0,0,1
3320,1,1,1,0,0,0,0,0,0,0,0,0,0,0
10471,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6652,1,0,0,0,0,0,0,0,0,1,1,0,0,0
12826,0,0,0,0,0,0,0,0,0,1,1,0,0,1
10985,1,1,0,0,0,0,0,0,0,1,1,0,0,0
8790,1,1,1,0,0,0,1,0,0,1,1,0,0,0
16127,1,1,1,1,1,0,0,0,0,1,1,0,0,0
8985,0,0,0,0,0,0,0,1,0,1,1,1,0,1
946,1,0,0,0,0,0,0,0,0,1,1,0,0,0
7147,0,0,0,0,0,0,0,1,0,1,1,0,0,0
11988,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1493,0,0,0,0,0,0,0,0,0,1,1,0,0,0
3376,0,1,0,0,0,0,0,0,0,1,0,0,0,0
13187,0,0,0,0,0,0,0,0,0,1,1,0,0,0
14341,0,0,0,0,0,0,0,0,0,1,1,0,0,0
10939,0,0,0,0,0,0,0,1,0,1,1,1,1,1
11250,1,1,0,0,0,0,0,0,0,1,1,0,0,0
2916,1,1,1,0,1,0,1,0,0,1,0,0,0,0
17663,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1261,0,1,0,0,0,0,0,0,0,1,1,0,0,0
10334,1,1,1,0,0,0,0,0,0,1,1,0,0,1
12779,0,0,0,0,0,0,0,0,0,1,1,0,0,1
996,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8332,0,0,0,0,0,0,0,1,0,0,0,1,0,0
4831,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10455,1,1,0,0,0,0,0,0,0,1,0,0,0,0
2511,1,0,1,0,0,1,1,1,0,1,0,0,0,0
3938,0,0,0,0,0,0,0,1,0,1,0,0,0,1
16137,1,1,1,0,0,0,0,0,0,0,1,0,0,0
8059,0,0,0,0,0,0,0,0,0,1,1,0,0,0
8155,1,1,0,0,0,0,0,0,0,1,1,0,0,0
91,0,0,0,0,0,0,0,0,0,1,1,0,0,0
16901,0,0,0,0,0,0,0,1,0,0,1,0,0,0
7779,1,1,0,0,0,0,0,1,0,1,1,0,0,0
15722,0,0,0,0,1,0,0,1,0,1,1,0,0,0
16229,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10154,1,1,0,0,0,0,0,0,0,1,1,0,0,1
14605,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10552,1,0,0,0,0,0,0,0,0,1,1,1,1,0
3408,0,0,0,0,0,0,0,0,0,1,1,0,0,0
16876,1,0,0,0,0,0,0,0,0,1,1,0,0,1
17115,1,1,0,0,0,0,0,0,0,0,0,0,0,0
14947,1,0,1,0,0,0,0,0,0,1,1,0,0,0
1845,0,0,0,0,0,0,0,0,0,1,1,0,0,0
3114,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1757,1,1,1,0,0,0,0,0,0,1,1,0,0,0
11172,0,0,0,0,0,0,0,0,0,1,0,1,1,0
2290,1,1,1,0,0,0,0,1,0,1,1,0,0,0
1645,0,0,0,0,0,0,0,0,0,1,1,0,0,1
8234,1,1,1,0,0,0,0,1,0,1,1,0,0,0
1355,0,0,0,0,0,0,0,0,0,1,1,0,0,0
7681,0,0,0,0,0,0,0,1,0,1,1,0,0,1
16214,0,0,0,0,0,0,0,1,0,1,0,0,0,0
4967,1,1,1,0,0,0,0,0,0,1,1,0,0,0
9494,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1830,1,1,1,0,0,1,0,0,0,1,0,0,0,0
11341,1,1,0,0,0,0,0,0,0,1,1,0,0,0
2161,1,1,1,0,0,0,0,0,0,1,1,0,0,1
8853,0,0,1,0,0,1,1,0,0,1,1,0,0,0
4274,0,0,0,0,0,0,0,0,0,1,1,0,0,0
6287,1,1,1,0,0,0,0,0,0,1,1,0,0,0
15919,1,0,0,1,1,0,0,0,0,1,0,0,0,0
7639,0,0,0,0,0,0,0,1,0,1,0,0,0,0
17022,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10000,0,0,0,0,0,0,0,0,0,1,1,0,0,0
212,0,0,0,0,0,0,0,0,0,1,1,0,0,0
9603,1,1,1,0,0,0,0,0,0,1,1,0,0,0
1727,1,1,1,0,0,0,0,1,0,1,1,0,0,0
17584,1,0,0,0,0,0,0,0,0,1,1,0,0,0
7794,1,1,0,0,0,0,0,0,0,1,1,0,0,0
16908,1,0,1,0,0,0,0,1,0,0,0,0,0,0
7787,1,0,0,0,0,1,0,0,0,0,0,0,0,0
6798,1,1,1,0,0,0,0,1,0,0,1,1,1,1
5243,0,1,1,0,0,0,0,0,0,1,1,0,0,0
8952,0,0,0,0,0,0,0,0,0,1,1,0,0,0
6395,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3138,0,0,0,0,0,0,0,0,0,1,1,0,0,0
5647,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13458,1,0,0,0,0,0,0,1,0,1,1,0,0,1
3271,1,1,1,0,0,0,0,1,0,1,1,0,0,0
18028,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11461,1,1,0,0,0,0,0,0,0,1,1,0,0,0
7470,1,1,0,0,0,0,0,0,0,1,1,0,0,0
520,1,0,1,0,0,0,0,0,0,0,0,0,0,1
13343,1,1,0,0,0,0,0,1,0,1,0,1,1,0
3880,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11906,1,1,0,0,0,0,0,0,0,1,1,0,0,0
596,1,0,0,0,0,0,0,0,0,1,1,0,0,0
16431,1,0,1,0,0,1,1,0,0,1,1,0,0,1
12965,1,1,1,0,0,0,0,0,0,1,1,0,0,0
7172,1,0,0,1,1,0,0,0,0,1,1,0,0,0
1154,1,1,1,0,0,0,0,1,0,1,1,0,0,1
5055,1,0,1,0,0,0,0,1,0,1,1,0,0,1
10292,0,0,0,0,0,0,0,1,0,1,1,0,0,0
5466,1,0,0,0,0,0,0,1,0,1,1,0,0,0
8502,1,0,0,0,0,1,0,1,0,1,1,0,0,0
10001,0,0,0,0,0,0,0,1,0,0,1,0,0,1
13817,0,0,0,0,0,0,0,0,0,1,1,0,0,0
14813,1,1,1,0,0,0,0,0,0,1,1,0,0,1
12512,0,0,0,0,0,0,0,0,0,1,1,0,0,0
10603,0,0,0,0,0,0,0,0,0,1,1,0,0,0
958,0,0,0,0,0,0,0,0,0,1,1,0,0,0
5200,1,0,1,0,0,0,1,0,0,0,0,0,1,0
16245,1,1,1,0,0,0,0,1,0,1,1,0,0,0
6853,1,0,0,0,0,0,0,1,0,0,0,0,0,0
14798,0,0,0,0,0,0,0,0,0,1,1,0,0,0
4037,0,0,0,0,0,0,0,0,0,1,1,0,0,0
12629,0,0,0,0,0,0,0,0,0,1,1,0,0,0
17113,1,1,0,0,0,0,0,1,0,1,1,1,1,0
16894,1,1,0,0,0,0,0,0,0,1,1,0,0,0
14989,1,1,1,0,0,0,0,0,0,1,1,0,0,0
506,1,1,0,0,0,0,0,0,0,1,1,0,0,0
14265,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10629,0,0,0,0,0,0,0,1,0,0,0,0,0,0
355,1,0,0,0,1,0,0,1,0,1,1,1,1,0
917,0,1,0,0,0,0,0,0,0,1,1,0,0,0
13157,1,0,0,0,0,0,0,1,1,1,1,1,0,1
7406,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8185,0,0,0,0,0,0,0,0,0,1,1,0,0,0
527,1,1,0,0,0,0,0,0,0,0,0,0,0,0
7728,0,0,0,0,0,0,0,0,0,1,1,0,0,0
7248,1,1,1,0,0,0,0,1,0,1,1,1,1,0
5563,1,1,0,0,0,0,0,0,0,1,1,0,0,0
16074,0,0,0,0,0,0,0,0,0,1,1,0,0,0
15380,0,0,0,0,0,0,0,0,0,1,1,0,0,0
14765,1,1,0,0,0,0,0,1,0,1,1,0,0,0
14886,0,0,0,0,0,0,0,1,0,1,1,0,0,0
3340,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1410,0,0,0,0,0,0,0,0,0,1,1,0,0,0
8108,0,0,0,0,0,0,0,1,0,1,1,1,0,0
1984,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13851,0,0,0,0,0,0,0,1,0,0,1,0,0,0
11870,1,1,1,0,0,0,0,1,0,1,1,0,0,0
6671,1,1,1,0,0,0,1,0,0,1,1,0,0,0
7173,1,0,1,0,0,0,0,1,0,1,1,0,0,1
11073,0,0,0,0,0,0,0,0,0,1,1,0,0,0
12576,0,0,1,0,0,0,0,1,0,0,0,0,0,0
17117,0,0,0,0,0,0,0,0,0,1,1,0,0,1
8314,1,0,0,0,0,0,0,0,0,1,0,0,0,0
11451,1,0,0,0,0,0,0,0,0,1,1,0,0,0
16488,0,0,0,0,0,0,0,0,0,1,1,0,0,0
7220,0,0,0,0,0,0,0,0,0,1,1,0,0,1
9587,0,0,0,0,0,0,0,0,0,1,1,0,0,0
10970,1,0,0,0,0,0,0,0,0,1,1,0,0,1
10864,0,0,0,0,0,0,0,1,0,1,1,0,0,0
7697,0,0,0,0,0,0,0,0,0,1,0,0,0,1
16674,1,0,0,0,0,0,0,0,0,1,1,0,0,0
7880,0,0,0,0,0,0,0,1,0,1,1,0,0,0
17864,1,0,0,0,0,0,0,1,0,1,1,1,1,0
14089,0,0,0,0,0,0,0,0,0,1,1,0,0,0
4688,0,0,0,0,0,0,0,0,0,1,1,0,0,0
12105,0,0,0,0,0,0,0,0,0,1,1,0,0,1
8203,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12707,0,0,0,0,0,0,0,0,0,1,1,0,0,0
28,0,0,0,0,0,0,0,1,0,1,1,0,0,0
15862,0,0,0,0,0,0,0,0,0,1,1,0,0,0
8316,0,0,0,0,0,0,0,0,0,1,1,0,0,0
4627,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15242,0,0,0,0,0,0,0,0,0,1,1,0,0,0
13036,1,0,0,0,0,0,0,0,0,1,1,0,0,0
8170,1,0,0,0,0,0,0,0,0,1,1,0,0,0
3629,0,0,0,0,0,0,0,0,0,1,1,0,0,0
10699,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17996,1,0,0,0,0,0,0,0,0,1,1,0,0,1
16682,1,0,0,0,0,0,0,0,0,1,1,0,0,0
16104,1,1,1,0,0,0,0,0,0,1,1,0,0,0
2893,1,0,1,0,0,0,0,1,0,1,1,1,1,0
14956,1,1,0,0,0,0,0,0,0,1,1,0,0,0
2382,0,0,0,0,0,0,0,1,0,1,1,0,0,1
7869,0,0,0,0,0,0,0,0,0,1,1,0,0,0
9893,1,0,1,0,0,0,0,0,0,1,0,0,0,0
14404,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2316,0,0,0,0,0,0,0,1,0,1,1,0,0,0
10605,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16970,0,0,0,0,0,0,0,1,0,1,1,0,0,0
12119,1,1,1,0,0,0,0,1,0,1,1,0,0,0
5722,0,0,0,0,0,0,1,0,0,1,0,0,0,0
918,0,0,0,0,0,0,0,0,0,1,1,0,0,0
14337,1,0,0,0,0,0,0,0,0,1,1,0,0,0
7114,1,1,0,0,0,0,0,0,0,1,1,0,0,1
6490,0,0,0,0,0,0,0,1,0,1,0,0,0,1
2723,0,0,1,0,0,1,1,1,0,1,1,0,0,0
15391,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16483,1,0,0,0,0,0,0,0,0,1,0,0,0,1
14662,1,0,0,0,0,0,0,0,0,1,1,0,0,0
7083,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14576,1,0,0,0,0,0,0,0,0,1,1,0,0,0
12262,1,0,0,0,0,0,0,1,1,1,1,0,0,1
2850,1,0,0,0,0,0,0,0,0,1,1,0,0,0
7100,0,0,0,0,0,0,0,0,0,1,1,0,0,0
5738,0,0,0,0,0,0,0,1,0,1,1,1,1,0
3036,1,1,1,0,0,0,0,1,0,1,1,0,0,1
564,1,0,0,0,0,0,0,1,0,0,0,0,0,0
3141,1,1,1,0,0,0,0,1,0,1,1,1,1,1
6505,0,0,0,0,0,0,0,0,0,1,1,0,0,0
8880,1,0,1,0,0,0,0,0,0,1,1,0,0,0
16988,0,0,1,0,1,0,0,1,0,1,1,0,0,0
2835,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6965,1,1,1,0,0,0,0,0,0,1,1,0,0,0
9032,1,1,0,0,0,0,0,0,0,1,1,0,0,0
7885,1,1,1,0,0,0,0,1,0,1,1,0,0,0
10751,1,0,0,0,1,0,0,0,0,1,1,0,0,0
16292,1,1,0,0,0,0,0,0,0,1,1,0,0,1
11271,1,1,0,0,0,0,0,1,0,1,1,0,0,0
5131,1,1,0,0,0,0,0,0,0,1,1,0,0,0
7404,0,0,0,0,0,0,0,1,0,1,1,0,0,0
13904,1,1,0,0,0,0,0,1,0,1,1,0,0,1
11631,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11757,1,0,0,0,0,0,0,1,0,0,0,0,0,1
11366,1,0,0,0,0,0,0,0,0,1,1,0,0,0
2748,0,0,0,0,0,0,0,0,0,1,1,0,0,0
3498,0,0,0,0,0,0,0,0,0,1,1,0,0,0
10831,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1191,1,1,1,0,0,0,0,1,0,0,0,1,1,0
12006,1,1,1,0,0,0,0,1,1,1,1,0,0,0
8596,1,1,1,0,0,0,0,0,0,1,1,0,0,0
8699,1,1,0,0,0,0,0,0,0,1,1,0,0,0
1316,0,0,0,0,0,0,0,1,0,0,1,1,1,1
16781,0,0,0,0,0,0,0,0,0,1,1,0,0,0
17903,1,0,1,0,0,0,0,0,0,1,0,0,0,0
4491,1,1,0,0,0,0,0,1,0,1,0,0,0,1
4473,1,1,0,0,0,0,0,1,0,1,1,0,0,1
8313,0,1,0,0,0,0,0,1,0,0,0,0,0,0
14418,1,1,0,0,0,0,0,0,0,1,1,0,0,0
16112,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11457,0,0,0,0,0,0,0,0,0,1,1,0,0,0
15024,1,0,0,0,0,0,0,0,0,1,1,0,0,0
11729,0,0,0,0,0,0,0,0,0,1,1,0,0,1
1954,1,1,0,0,0,0,0,0,0,1,1,0,0,0
15443,0,0,0,0,0,0,0,1,0,1,1,0,0,1
15278,0,0,0,0,0,0,0,0,0,1,1,0,0,0
16820,1,1,0,0,0,0,0,0,0,1,0,0,0,1
3986,0,0,1,0,0,0,0,0,0,1,1,0,0,1
9272,0,0,1,0,1,0,0,1,0,1,1,1,0,0
9503,1,1,0,0,0,0,0,1,0,1,1,0,0,0
13604,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7727,0,0,0,0,0,0,0,1,0,1,1,0,0,0
10014,0,0,0,0,0,0,0,0,0,1,1,0,0,0
15222,1,1,1,0,0,1,1,1,0,1,1,0,0,1
3669,0,0,0,0,0,0,0,0,0,1,1,0,0,0
4989,1,0,0,0,0,0,0,0,0,1,1,0,0,0
6380,1,1,0,0,0,0,0,0,0,1,1,0,0,0
4375,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9834,0,0,0,0,0,0,0,0,0,1,1,0,0,0
7163,0,0,0,0,0,0,0,1,0,1,1,0,0,0
13278,0,0,0,0,0,0,0,1,0,1,1,0,0,0
9132,1,0,0,0,0,0,0,1,0,1,1,1,1,0
11781,1,1,0,0,0,0,0,1,0,0,1,0,0,0
7722,1,0,0,0,0,0,0,0,0,1,1,0,0,1
16484,1,0,0,0,0,0,0,1,0,1,1,0,0,1
7445,1,1,1,0,0,0,0,0,0,1,1,0,0,0
7112,0,0,0,0,0,0,0,0,0,1,1,0,0,1
9361,0,0,0,0,0,0,0,1,0,1,1,0,0,0
3180,1,0,0,0,0,0,0,0,0,1,1,0,0,1
342,0,0,0,0,0,0,0,1,0,0,1,0,0,0
10240,0,0,0,0,0,0,0,0,0,1,1,0,0,0
14693,1,0,0,0,0,0,0,0,0,1,1,0,0,0
1565,1,1,0,0,0,0,0,1,0,1,0,0,0,0
14855,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1083,0,0,0,0,0,0,0,0,0,1,1,0,0,0
14951,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1569,1,1,1,0,0,0,0,0,0,1,1,0,0,0
14374,0,0,0,0,0,0,0,0,0,1,1,0,0,0
813,0,0,0,0,0,0,0,0,0,1,1,0,0,0
563,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2269,0,1,0,0,0,0,0,1,0,1,1,0,0,0
17373,1,0,0,0,0,0,0,0,0,1,1,0,0,0
10348,1,1,1,0,1,0,0,1,0,1,0,0,0,0
11139,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2958,1,1,0,0,0,0,0,0,0,1,1,0,0,0
3072,1,1,1,0,0,0,0,1,0,1,1,0,0,1
3099,0,0,0,0,0,0,0,0,0,1,1,0,0,0
12572,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1764,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5451,0,0,1,1,1,0,0,1,0,1,1,1,1,1
15690,1,0,0,0,0,0,0,0,0,1,1,0,0,0
9353,1,0,0,0,1,0,0,0,0,1,1,1,1,0
18204,0,0,0,0,0,0,0,0,0,1,1,0,0,0
13901,1,0,0,0,0,0,0,0,0,0,0,0,0,0
127,0,0,1,0,0,0,0,1,0,1,1,0,0,0
11019,0,0,0,0,0,0,0,0,0,1,1,0,0,0
15903,1,1,1,0,0,0,0,0,0,0,0,0,0,0
9499,1,0,1,0,0,0,0,0,0,1,1,0,0,0
8559,0,0,0,0,0,0,0,0,0,1,0,0,0,0
