user_id,region,city,parent_category_name,category_name,param_1,param_2,param_3,title,description,price,item_seq_number,activation_date,user_type,image_top_1,deal_probability
b42fc9bd13af,Татарстан,Казань,Услуги,Предложение услуг,"Питание, кейтеринг",,,Требуется повар на шаурму,На постоянной основе.  С опытом работы,,41,2017-03-19,Private,,0.5
a10d827299d5,Свердловская область,Екатеринбург,Личные вещи,"Одежда, обувь, аксессуары",Женская одежда,Джинсы,25,Джинсы,"Продам новые джинсы Яiris/
- свободные сверху сужающиеся к низу,/
- эластичный деним средней плотности,/
- ростовка 34./
СОСТАВ 95% хлопка / 5% эластан/
СИЛУЭТ SLIM/
ПОСАДКА Средняя",1800.0,77,2017-03-22,Private,658.0,0.0
480e7712d040,Новосибирская область,Новосибирск,Бытовая электроника,Телефоны,ZTE,,,ZTE Blade A610 новый,"Отличное качество фотосъемки./
Основная камера имеет разрешение 13 МП, фронтальная – 5 МП, что гарантирует получение качественных фото и селфи. Естественно, имеется LED-вспышка и автофокус основной камеры, что позволяет делать отличные снимки даже в условиях низкого освещения./
Быстродействие и производительность./
Четырёхъядерный процессор и 2 ГБ оперативной памяти обеспечивают скорость в обработке повседневных задач и плавную работу приложений. Смартфон оборудован 16 ГБ встроенной памяти с поддержкой Micro SD карт объёмом до 32 ГБ, что позволит хранить множество фотографий и музыкальных композиций./
Двухсимочная платформа./
Смартфон обладает слотом для установки двух сим-карт формата Nano SIM – разделяйте личные и рабочие звонки, выбирайте удобные тарифы в поездках и пользуйтесь интернетом независимо от вашего места нахождения./
Заряд держит двое суток стабильно (4000 Ампер)/
Наклеено стекло, треснуто в нижнем части, на работу не влияет, сам экран целый/
Обмен не интересен/
Пишите в вотсап, если есть возможность, на звонки отвечаю редко",10000.0,17,2017-03-23,Private,2906.0,0.0
e065a9e167c6,Калининградская область,Гурьевск,Недвижимость,Земельные участки,Продам,Поселений (ИЖС),,Участок 24 сот. (ИЖС),"продается земельный участок КН 39:03:060002:557. На участке газ, электричество. торг возможно",2400000.0,598,2017-03-16,Company,2893.0,0.06514
cb8a0704e547,Иркутская область,Черемхово,Транспорт,Мотоциклы и мототехника,Мотоциклы,Дорожные,,Продам Мотороллер муравей 2м,1992г проб2500 рабочий,40000.0,8,2017-03-26,Private,1139.0,0.0
8f987a05a5e1,Новосибирская область,Новосибирск,Личные вещи,"Одежда, обувь, аксессуары",Мужская одежда,Обувь,43,Кроссовки salomon speed cross 4 Bk/Bk/Bl,"Кроссовки SALOMON  SPEED CROSS 4  Bk/Bk/Bl  38313/
Артикул: 383130/
Производитель: SALOMON/
Размер: 6,5; 7; 9,5; 10/
Назначение: Бег по пересеченной местности/
Вес: 310 гр./
Speedcross 4 — легендарные облегченные кроссовки для бега по пересеченной местности. Обеспечивают превосходное сцепление, а также поддержку и защиту стопы без утяжеления кроссовок.",6200.0,46,2017-03-24,Company,638.0,0.0
e1e669273e71,Татарстан,Казань,Для бизнеса,Оборудование для бизнеса,Для магазина,,,Холодильное оборудование,Холодильник -Средне температурный ВХС 1-0. В использовании 6 месяцев с документами.,25000.0,1,2017-03-25,Private,1511.0,0.04136
dd93b79578de,Кемеровская область,Новокузнецк,Личные вещи,Детская одежда и обувь,Для девочек,Обувь,25,Кроссовки,"Оригинальный ,покупали заграницей./
Состояние отличное",500.0,18,2017-03-28,Private,462.0,0.0
6b23b869ce0a,Нижегородская область,Нижний Новгород,Личные вещи,"Одежда, обувь, аксессуары",Женская одежда,Верхняя одежда,40–42 (XS),Ветровка,ветровка,350.0,59,2017-03-16,Private,53.0,0.0
5a97de57aeeb,Калининградская область,Калининград,Личные вещи,Детская одежда и обувь,Для девочек,Обувь,< 19,Босоножки,"Продам босоножки 19 размер, кожа. На первые шаги.",500.0,15,2017-03-16,Private,93.0,0.0
05f318051fd7,Пермский край,Пермь,Для дома и дачи,Мебель и интерьер,"Кровати, диваны и кресла",,,Диваны 2 шт,СОСТОЯНИЕ НОВЫХ СИНИЙ И КРАСНЫЙ ПО 5 ТЫС ЛИПАТОВА 18,5000.0,372,2017-03-20,Company,1431.0,0.0
8ff259802c6c,Челябинская область,Челябинск,Личные вещи,Детская одежда и обувь,Для мальчиков,Верхняя одежда,146-152 см (10-12 лет),Куртка тёплая. Рост 152см. Торг уместен,,390.0,10,2017-03-23,Private,53.0,0.0
a34e81254da0,Башкортостан,Стерлитамак,Транспорт,Мотоциклы и мототехника,Мотоциклы,Дорожные,,Урал 1994,В хорошем состоянии. Сел и поехал. Все работает. Аккум есть!,15000.0,231,2017-03-28,Company,1138.0,0.74042
1781a05b9600,Челябинская область,Челябинск,Личные вещи,Красота и здоровье,Приборы и аксессуары,,,Полка для ванной Snap Up Shelf,"Весь ассортимент, вы сможете посмотреть, нажав на название магазина Аура Уюта./
 /
====================================================/
 /
Полка для ванной Snap Up Shelf/
 /
====================================================/
 /
Оптом и в розницу/
 /
> Доставка по Москве: /
 /
• Курьерская доставка (250руб)/
/
> Доставка по Челябинску: /
 /
• Курьерская доставка (250руб)/
 /
• Самовывоз по предварительному звонку ул. Братьев Кашириных 87а./
 /
Оптом и в розницу/
 /
> Доставка по России: /
 /
• Почта ( по тарифам почты, оплата при получении!!!)/
 /
====================================================/
 /
КАК ЗАКАЗАТЬ:/
 /
Для связи используйте Whatsapp, и личные сообщения 24 часа в сутки/
 /
Вы оставляете заявку по ТЕЛЕФОНУ, SMS либо WhatsApp;/
 /
- В сообщении укажите ФИО, телефон для связи, адрес доставки(включая город)./
 /
================================================/
 /
Доставка/
 /
1) Менеджер связывается с Вами для подтверждения заказа;/
 /
2) Мы быстро доставляем Вашу посылку по указанному адресу;/
 /
3) Вы получаете свой товар и платите за него на по почте, либо курьеру/
 /
Гарантия 6 месяцев/
 /
Оптовые цены согласовываются индивидуально.",450.0,330,2017-03-15,Company,692.0,0.0
a81b98f3e7c3,Воронежская область,Воронеж,Личные вещи,Красота и здоровье,Средства для волос,,,Краска для волос цвета шампань,"Продам краску для волос новые , не понадобились!!! За 2 шт 150 руб !!! Сроки в норме см фото !!!",150.0,165,2017-03-20,Company,683.0,0.0
418ddb76eab8,Свердловская область,Екатеринбург,Личные вещи,"Одежда, обувь, аксессуары",Женская одежда,Обувь,38,Новые женские сапоги 38,Новые кожанные с мехом сапоги на каблуке 38 размера,1500.0,55,2017-03-16,Private,492.0,0.0
339e0789f620,Краснодарский край,Анапа,Личные вещи,"Одежда, обувь, аксессуары",Женская одежда,Обувь,39,Кроссовки Adidas ZX 125 (Адидас ) 39 Новые,"Здравствуй посетитель нашего Avito магазина/
 /
Кроссовки Adidas ZX 125 ( Адидас ) 39 Новые /
 /
---------------------------------------------------------------------------------------/
 /
Доставка по г.Анапа БЕСПЛАТНАЯ(при заказе от 2000руб.)/
 /
Доставка почтой во все регионы по всему МИРУ, в любой город, в любую станицу (автобусом, маршруткой, курьером, почта)/
 /
---------------------------------------------------------------------------------------/
 /
Розничный магазин Sport City находится по адресу: г.Анапа, ул.Краснодарская 5, ЦУМ 1этаж/
 /
Работаем с 1995года/
 /
---------------------------------------------------------------------------------------/
 /
Звоните, задавайте вопросы по WhatsApp, Viber, СМС, а так же совершайте звонки на мобильный/
 /
Пишите вопросы на Email, в сообщения на Avito/
 /
Наш коллектив дружный и с радостью ответит на все ваши вопросы и даст дельный совет/
 /
Все модели представленные на нашем Авито магазине так же можно заказать ОПТОМ от 6пар размерного ряда (подробности по телефону)/
 /
---------------------------------------------------------------------------------------/
 /
Все розничные покупатели, совершив свою 1-ю покупку, получают 7% скидку на все следующие покупки как в нашем стационарном магазине, так и через Авито магазин и наши соц.сети/
 /
Скидка накопительная 7%, 10%, 15%/
 /
А в день Вашего Рождения СПЕЦИАЛЬНАЯ ЦЕНА в течении 10дней Все фото наших кроссовок настоящие, сфотографированно в нашем стационарном магазине/
 /
---------------------------------------------------------------------------------------/
 /
Успешных покупок и хорошего настроения/
 /
---------------------------------------------------------------------------------------/
 /
Можем привезти кроссовки под ЗАКАЗ по Вашей фотографии (доставка от 2 дней)/
 /
---------------------------------------------------------------------------------------/
 /
Способ оплаты: Сбербанк-онлайн, электронные карты, Yandex.деньги, QIWI В стационарном магазине наличный и безналичный расчет (установлен платежный терминал, при оплате с любых видов электронных карт, процент не взимается)/
 /
---------------------------------------------------------------------------------------",2550.0,4067,2017-03-21,Shop,448.0,0.0
2045487cc72a,Самарская область,Самара,Личные вещи,"Одежда, обувь, аксессуары",Мужская одежда,Пиджаки и костюмы,42-44 (XS),Галстуки бабочка,"Два галстука, один черный; другой синий/
Новые/
Носил на выпускной. Черный совсем новый/
Забрать по будням, территория Шипка, Парк Гагарина, Мечеть/
1 шт=400 р./
Если возьмете оба, за 600 рублей отдам все",400.0,3,2017-03-15,Private,140.0,0.1184
5004ecd8d4c7,Владимирская область,Владимир,Хобби и отдых,Музыкальные инструменты,Гитары и другие струнные,,,Ostap,"Продаю гитару Ostap, собрана Кириллом Остаповым./
/
Характеристики:/
Корпус: ольха с кленовым топом,/
Гриф: клён,/
Накладка: эбони,/
Флойд: лицензионный,/
Звучки: HSS: Shaller (bridge), Noname (middle), Duncan Designed (neck),/
Мензура: 25,5/
Регуляторы: громкость, тон, 5-ти позиционный переключатель./
/
Продаю только из-за формы, на обмен рассмотрю японские лес полы. Небольшой торг возможен.",22000.0,13,2017-03-25,Private,2519.0,0.0
6956c8d01c5a,Самарская область,Отрадный,Личные вещи,Детская одежда и обувь,Для девочек,Верхняя одежда,122-128 см (6-8 лет),Куртка,"Состояние на ""5""",800.0,3,2017-03-24,Private,95.0,0.0
db8b6ba2cab8,Ставропольский край,Михайловск,Для дома и дачи,Ремонт и строительство,Стройматериалы,,,Продам металл старый,"Продам металл старый, само вывоз из Михайловска",9000.0,156,2017-03-21,Company,1684.0,0.86521
5a1646e314a9,Ростовская область,Ростов-на-Дону,Услуги,Предложение услуг,"Ремонт, строительство",Ремонт ванной,,Плиточник,"Укладка плитки на стены, пол, облицовка ступеней, работа с диким камнем, керамикой, керамогранитом.  /
Выполнение овальных и криволинейных срезов, зарезка углов по 45°, работа с мозайкой./
Облицовка каминов и других элементов./
Дополнительно произвожу подготовительные работы перед укладкой плитки.",480.0,2,2017-03-27,Private,2222.0,1.0
777ee477ef7d,Ханты-Мансийский АО,Белоярский,Бытовая электроника,Ноутбуки,,,,Продажа ноутбука,"Продаётся ноутбук ASUS X541SA-XX038T, модель 2016 года, куплен 2017 году, состояние нового.",17000.0,1,2017-03-22,Private,2951.0,0.0
393ccde69d82,Волгоградская область,Волгоград,Личные вещи,"Одежда, обувь, аксессуары",Женская одежда,Платья и юбки,42–44 (S),Продаются платье и туфли,"LOST INK. Размер платья 42, обуви - 37/38 (у меня 38 р. идеально сидят, достаточно удобные). Основная причина продажи: платье не подошло по размеру. Туфли покупались как дополнительный аксессуар к платью./
Платье ни разу не ношенное. Туфли приходилось носить, поэтому цена снижена.",3000.0,5,2017-03-19,Private,2124.0,0.0
455f8ad96633,Оренбургская область,Оренбург,Бытовая электроника,Товары для компьютера,Комплектующие,Оперативная память,,4 Gb DDR3 hynix 1333 Mhz,"DDR3 оперативная память, в отличном состоянии, работала с процессором AMD. На планке 16 чипов по 256 Мб",2000.0,3,2017-03-27,Private,2853.0,0.0
35490c2c57de,Ростовская область,Ростов-на-Дону,Бытовая электроника,Телефоны,Номера и SIM-карты,,,"Симкарты, красивые номера","Симкарты , красивые номера , количество не ограничено",20.0,4,2017-03-18,Company,2263.0,0.29097
f538eb79cedc,Краснодарский край,Краснодар,Для дома и дачи,Мебель и интерьер,,,,Постельное белье Жаккард,"Сатин жаккард поставляется в подарочной упаковке, чемоданчике с ручкой (см. фото)./
Размеры комплектов:/
2 х сп. евро пр: (пододеяльник 180х215 см - 1 шт., простыня 220х240 см - 1 шт., наволочка 70х70 см - 2 шт., 50х70 см - 2 шт)-3500р./
евро:  (пододеяльник 200х220 см - 1 шт., простыня 230х250 см - 1 шт., наволочка 70х70 см - 2 шт., 50х70 - 2 шт)-4000р./
Обращаем Ваше внимание!!! Расположение рисунка на ткани у наволочек может отличаться от изображения, представленного на фото. Все фотографии служат для ознакомительных целей и дают общую иллюстрацию дизайна определенного рисунка. Это несоответствие не расценивается как брак или некондиция.",3500.0,168,2017-03-25,Company,1416.0,0.0
90e960ea34b7,Саратовская область,Саратов,Личные вещи,Детская одежда и обувь,Для мальчиков,Верхняя одежда,86-92 см (1-2 года),Куртка + брюки,"Куртка и штаны сезон осень/зима. Есть дефект на штанах. /
Район Дворец Пионеров /
Viber, WhatsUpp",400.0,16,2017-03-15,Private,51.0,0.0
66906e4edbbf,Пермский край,Пермь,Личные вещи,Товары для детей и игрушки,Постельные принадлежности,,,Ортопедическая подушка,"продам ортопедическую подушку для грудничков./
хорошее состояние",100.0,21,2017-03-26,Private,1009.0,0.12789
65ba04700cc9,Башкортостан,Уфа,Недвижимость,Квартиры,Продам,1,Вторичка,"1-к квартира, 33 м², 7/9 эт.","Продается 1-ком. квартира на 7/9 эт. кирпичного дома по ул. Зорге 44. Общая площадь 33 кв.м, жилая 19,6 кв.м, кухня 6,1 кв.м, санузел совмещен 3,1 кв.м, кладовая 0,8 кв.м. окна во двор, балкон застеклен. Тамбур на трех соседей. Состояние – без ремонта! Документы к сделке готовы, ипотеку можем рассмотреть.",2150000.0,1811,2017-03-24,Company,2218.0,0.43053
b32fdc60421a,Челябинская область,Златоуст,Недвижимость,Комнаты,Продам,,,"Комната 20 м² в 1-к, 4/9 эт.","Продаётся комната 19,9 кв.м., тёплая и светлая,,доброжелательные соседи, в секции чистота и порядок,на этаже алкашей и наркоманов нет,на этаже хорошая железная дверь.С утра и до обеда солнце. В распоряжении имеется кухня 16 кв.м.,что очень удобно.Имеется прачечная,всё закрывается. Торг.",390000.0,17,2017-03-26,Private,1450.0,0.1075
cc164c77adaf,Нижегородская область,Бор,Личные вещи,Детская одежда и обувь,Для мальчиков,Верхняя одежда,98-104 см (2-4 года),Куртка ветровка oldis р 98 б.у,"куртка ветровка oldis р 98 б.у,в отличном состоянии,надевали 2 раза",700.0,14,2017-03-16,Private,52.0,0.0
c6b240f1a68e,Пермский край,Пермь,Бытовая электроника,Телефоны,iPhone,,,"iPhone 6 16GB новый, гарантия. доставка","┏ ╶ ╶ ╶ ╶ ╶ ╶┓/
╽iPhone 6 16GB/
┗ ╶ ╶ ╶ ╶ ╶ ╶┛/
⠀⠀⠀/
Вашему вниманию, ОРИГИНАЛЬНЫЕ (ⓡⓔⓕ) IPhone в заводской упаковке, с полной комплектацией (проходят проверку любыми сервисами)⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀/
┉ ┉ ┉ ┉ ┉ ┉ ┉ ┉ ┉ ┉ ┉ ┉ ┉ ┉ ┉ ┉ ┉ ┉ ┉ ┉ ┉ /
РЕАЛЬНЫЕ ЦЕНЫ:/
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀/
☑ Apple iPhone 6 16GB Space Gray - 19.990 руб. /
/
☑ Apple iPhone 6 16GB Silver - 19.990 руб. /
/
☑ Apple iPhone 6 16GB Golg - 19.990руб. /
=========================================/
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀/
➜ Как и любой смартфон полностью русифицирован и работает с ЛЮБЫМ Российским оператором /
⠀⠀⠀⠀⠀⠀⠀⠀⠀/
➜ Смартфон спокойно регистрируются и обновляется через iTunes ツ/
⠀⠀⠀⠀⠀⠀⠀⠀⠀/
➜ Айфон 6 16GB в наличии весь модельный ряд различных цветов компании Apple  (просто позвоните)⠀⠀⠀⠀⠀⠀⠀⠀⠀/
=========================================/
⠀⠀⠀⠀⠀⠀⠀⠀⠀/
Мы предоставляем:/
⠀⠀⠀⠀⠀⠀⠀⠀⠀/
✔ Пробный месяц использования на случай, если возникнут какие-то трудности или сложности. никаких проблем с возвратом./
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀/
=========================================/
⠀⠀⠀⠀⠀⠀⠀⠀⠀/
🚗 ДОСТАВКА по г. Пермь -  день в день!/
⠀⠀⠀⠀⠀⠀⠀⠀⠀/
☎ Мы на связи ежедневно с 10.00 до 22.00 в любую погоду 365 дней в году",19990.0,1,2017-03-24,Private,2909.0,0.16079000000000002
44e9f3779c6b,Пермский край,Пермь,Личные вещи,Детская одежда и обувь,Для девочек,Верхняя одежда,86-92 см (1-2 года),Пуховик детский для девочки Benetton,"Пуховик в идеальном состоянии!!! Можно стирать хоть каждый день, он не убиваемый)) но на самом деле достаточно протереть проблемное место влажной тряпочкой и все пятна с него исчезают! Не деформировался нигде, внутрянка никак не слежалась, в общем состояние как из магазина! Очень удобный! Ребёнку в нем комфортно! Попу закрывает))",800.0,83,2017-03-20,Private,95.0,0.0
d8cf565daae2,Ханты-Мансийский АО,Нижневартовск,Для дома и дачи,Бытовая техника,Для кухни,Плиты,,Плита,"Новая,еще в коробке",6000.0,7,2017-03-24,Private,1274.0,0.86521
df954560825d,Красноярский край,Красноярск,Личные вещи,Детская одежда и обувь,Для мальчиков,Верхняя одежда,98-104 см (2-4 года),"Демисезонный костюм р.98, 104 новый","В НАЛИЧИИ! Демисезонный комплект Aimico, р.98, 104, куртка плащевка, подкладка флис, Утеплитель холлофайбер , капюшон отстёгивается. светоотражающие элементы, на температуру от +12С до -8С, КАЧЕСТВО ОЧЕНЬ КЛАССНОЕ!!/
ДОСТАВКА ПО ГОРОДУ И РФ!/
СМОТРИТЕ ДРУГИЕ МОИ ОБЪЯВЛЕНИЯ! /
МОЖНО ПИСАТЬ В VIBER!",2700.0,902,2017-03-18,Company,50.0,0.0
f5ddb473295a,Владимирская область,Владимир,Личные вещи,Детская одежда и обувь,Для девочек,Верхняя одежда,110-116 см (4-6 лет),Укороченная курточка HM весна,"Стильная куртка в байкерском стиле из мягкой эко кожи.На подкладке.Размер 116.В ПОДАРОК ШАПКА тойже фирмы,состояние ИДЕАЛЬНОЕ.",1000.0,7,2017-03-15,Private,527.0,0.80323
92e6e2dd7d1f,Челябинская область,Челябинск,Услуги,Предложение услуг,"Ремонт, строительство","Строительство домов, коттеджей",,Строительство домов из любого материала,"СТРОИТЕЛЬСТВО ЧАСТНЫХ ДОМОВ, коттеджей и загородных домов из бруса / бревна / клеенного бруса / оцилиндрованного бревна зимнего леса / кирпича / газоблока / евроблока / пеноблока / керамоблока / каркасные/
/
КОНСУЛЬТАЦИЯ И РАСЧЕТ СТОИМОСТИ БЕСПЛАТНО./
/
Мы занимаемся строительством домов, коттеджей как по индивидуальному проекту , так и по имеющимся у нас проектам./
/
Предлагаем Вам полный перечень наших услуг , которые мы выполняем при строительстве:/
/
- земляные работы (копка фундамента, выравнивание участка , дренаж , ландшафтные работы , установк септика и т.д./
- заливка фундамента, бетонирование двора, площадок (бетононасос, миксер, бетон)/
- монолитные работы (фундамент, плита перекрытия, колонны, стены, монолитчики)/
- кладка (кирпича, газоблока, шлакоблока, паромакса и тд)/
- кровельные работы, монтаж кровли (металл, мягкая, черепица)/
- монтаж окон, подоконников/
- услуги по электрике и слаботочным системам ( охранная сигнализация, пожарная сигнализация, интернет и тд)/
- механизированная и ручная стяжка пола и штукатурка (цементная и гипсовая)/
- оказываем полный перечень сантехнических услуг/
- финишные отделочные работы/
- сдача объекта в эксплуатацию/
- подключение инженерных коммуникаций (газ, электричество, водопровод, канализация)/
- благоустройство (тротуарная плитка, ландшафтный дизайн и тд)/
- заборы и ограждения/
- навесы (поликорбанатовый лист, металлопрофиль)/
- ремонт (офиса, дома, коттеджа, загородного дома)/
/
Услуги по строительству в Челябинске оказывает множество фирм. Но у нас есть очень важное и неоспоримое преимущество - мы не занимаемся конвейерным строительством шаблонных строений, мы строим уютные, теплые, прочные, долговечные и красивые внешне и изнутри дома и коттеджи, жилье в которых будет радовать ежедневно./
/
Хотите такой дом?/
ЗВОНИТЕ, ПОСТРОИМ ДОМ!/
/
Выполняем строительные работы только по ДОГОВОРУ и СМЕТЕ./
/
РАСЧЕТ ПОЭТАПНЫЙ./
/
Осуществляем полную комплектацию стройматериалов и доставку на объект./
/
Проектирование .",,196,2017-03-27,Company,1118.0,1.0
643f035fef11,Волгоградская область,Волгоград,Услуги,Предложение услуг,"Обучение, курсы",,,"Помощь в написании курсовых, контрольных работ","Окажу помощь студентам в написании дипломной, курсовой, контрольной работы, отчетов по практике, рефератов по любым предметам. Консультации и помощь студентам по направлениям: юриспруденция, экономика, финансы, маркетинг, менеджмент, бух. учет, педагогика, право, математика, физика, химия и др. Любой уровень сложности. Качественно и в срок. Звоните!",50.0,2,2017-03-27,Private,1042.0,1.0
6541075f9bf3,Челябинская область,Челябинск,Личные вещи,"Одежда, обувь, аксессуары",Женская одежда,Платья и юбки,44–46 (M),Платья,"платья в идеальном состоянии./
синие с кружевом черным, очень очаровательно и элегантно, длина - выше колен, от талии  - солнышком юбка. Ткань - шелк и кружево./
платье  желто-зелёное с черными вставками, на животе и на спине прозрачная черная сетка, на рукавах и по низу подола черное кружево. Длина платья по колено. Очень элегантное и очаровательное, а так же придает девушке сексуальность за счет прозрачных деталей./
Цена договорная, не дорого.",100.0,62,2017-03-25,Private,399.0,0.0
