recency,history_segment,history,mens,womens,zip_code,newbie,channel,segment,visit
11,3) $200 - $350,228.09,0,1,Surburban,1,Web,No E-Mail,0
1,5) $500 - $750,640.58,0,1,Urban,1,Phone,Mens E-Mail,0
4,2) $100 - $200,194.11,1,0,Urban,0,Phone,No E-Mail,0
7,1) $0 - $100,84.49,0,1,Urban,1,Web,No E-Mail,0
7,3) $200 - $350,235.14,0,1,Urban,1,Phone,Mens E-Mail,0
2,1) $0 - $100,29.99,0,1,Surburban,0,Phone,Mens E-Mail,0
7,3) $200 - $350,272.32,1,0,Surburban,1,Web,Mens E-Mail,0
2,1) $0 - $100,95.33,0,1,Surburban,0,Web,No E-Mail,1
5,4) $350 - $500,494.26,1,1,Surburban,1,Phone,Mens E-Mail,0
2,"6) $750 - $1,000",809.07,1,0,Urban,1,Phone,Mens E-Mail,0
1,1) $0 - $100,80.42,0,1,Urban,1,Phone,Womens E-Mail,0
10,3) $200 - $350,237.85,1,0,Urban,0,Web,Womens E-Mail,0
2,1) $0 - $100,82.59,1,0,Surburban,0,Phone,Womens E-Mail,0
6,2) $100 - $200,165.77,0,1,Urban,0,Web,Womens E-Mail,1
3,2) $100 - $200,101.61,0,1,Surburban,1,Phone,No E-Mail,0
8,1) $0 - $100,52.64,0,1,Surburban,1,Web,No E-Mail,0
6,4) $350 - $500,466.29,1,0,Urban,1,Multichannel,Mens E-Mail,0
3,2) $100 - $200,100.85,1,0,Urban,1,Phone,Mens E-Mail,0
3,"7) $1,000 +",1397.57,1,0,Surburban,1,Multichannel,Mens E-Mail,0
2,"6) $750 - $1,000",770.58,0,1,Surburban,1,Phone,Mens E-Mail,0
3,"7) $1,000 +",1973.87,1,0,Surburban,1,Multichannel,No E-Mail,0
3,2) $100 - $200,133.51,1,0,Urban,0,Web,Mens E-Mail,0
8,1) $0 - $100,31.52,0,1,Surburban,0,Web,Mens E-Mail,0
1,1) $0 - $100,47.44,0,1,Urban,0,Phone,Womens E-Mail,0
1,2) $100 - $200,106.27,0,1,Surburban,0,Web,Womens E-Mail,0
11,3) $200 - $350,215.46,0,1,Urban,0,Web,Womens E-Mail,0
11,2) $100 - $200,189.25,0,1,Urban,1,Phone,No E-Mail,0
10,2) $100 - $200,108.12,1,0,Urban,0,Web,Womens E-Mail,0
8,1) $0 - $100,66.14,1,0,Surburban,1,Phone,No E-Mail,0
8,1) $0 - $100,98.56,1,0,Surburban,1,Web,Womens E-Mail,0
6,2) $100 - $200,129.14,1,0,Surburban,0,Web,Womens E-Mail,0
2,4) $350 - $500,493.17,0,1,Surburban,0,Web,Womens E-Mail,0
11,2) $100 - $200,146.04,0,1,Surburban,1,Phone,Mens E-Mail,0
12,1) $0 - $100,29.99,0,1,Urban,1,Web,No E-Mail,0
2,1) $0 - $100,66.6,1,0,Urban,1,Phone,Womens E-Mail,0
12,2) $100 - $200,129.73,1,0,Surburban,0,Web,Womens E-Mail,0
4,1) $0 - $100,54.41,0,1,Urban,1,Phone,Womens E-Mail,0
9,"7) $1,000 +",1172.42,1,1,Surburban,1,Web,Mens E-Mail,0
5,3) $200 - $350,244.34,0,1,Urban,1,Web,Mens E-Mail,0
2,3) $200 - $350,287.04,1,1,Urban,1,Phone,Womens E-Mail,0
4,1) $0 - $100,29.99,0,1,Urban,1,Web,Womens E-Mail,0
9,2) $100 - $200,151.01,1,0,Surburban,0,Web,No E-Mail,0
11,1) $0 - $100,35.43,1,0,Urban,1,Phone,Mens E-Mail,0
5,1) $0 - $100,84.17,1,0,Urban,1,Web,Womens E-Mail,0
3,3) $200 - $350,313.6,0,1,Surburban,0,Phone,No E-Mail,0
1,2) $100 - $200,117.27,0,1,Rural,0,Phone,Mens E-Mail,0
5,1) $0 - $100,29.99,0,1,Surburban,0,Web,No E-Mail,0
3,"7) $1,000 +",1167.93,1,1,Rural,1,Web,Womens E-Mail,0
3,5) $500 - $750,683.2,1,1,Rural,1,Multichannel,No E-Mail,0
1,2) $100 - $200,110.07,0,1,Urban,0,Web,Mens E-Mail,0
1,2) $100 - $200,102.94,1,0,Urban,0,Web,Womens E-Mail,0
2,1) $0 - $100,29.99,0,1,Urban,0,Web,Mens E-Mail,0
11,2) $100 - $200,160.04,1,0,Rural,0,Web,Mens E-Mail,0
1,4) $350 - $500,418.68,0,1,Surburban,0,Web,No E-Mail,0
11,3) $200 - $350,316.23,1,0,Urban,1,Phone,Mens E-Mail,0
12,3) $200 - $350,253.06,0,1,Surburban,0,Phone,Womens E-Mail,0
9,3) $200 - $350,329.96,0,1,Surburban,1,Phone,No E-Mail,0
7,2) $100 - $200,185.73,1,0,Surburban,0,Phone,Mens E-Mail,0
11,1) $0 - $100,52.08,0,1,Urban,0,Web,Womens E-Mail,0
1,5) $500 - $750,616.73,0,1,Urban,1,Web,Mens E-Mail,0
9,2) $100 - $200,123.39,1,0,Urban,0,Phone,Womens E-Mail,0
3,3) $200 - $350,249.71,1,0,Surburban,0,Phone,No E-Mail,0
2,1) $0 - $100,46.09,0,1,Urban,0,Web,No E-Mail,0
8,1) $0 - $100,48.87,1,0,Surburban,1,Web,Mens E-Mail,0
10,1) $0 - $100,77.37,1,0,Surburban,0,Phone,Womens E-Mail,0
4,3) $200 - $350,270.24,1,0,Urban,1,Phone,No E-Mail,0
9,3) $200 - $350,228.8,1,0,Surburban,0,Multichannel,Mens E-Mail,1
3,1) $0 - $100,80.18,0,1,Urban,0,Phone,Womens E-Mail,0
11,2) $100 - $200,131.76,0,1,Surburban,1,Web,Womens E-Mail,1
9,2) $100 - $200,162.59,0,1,Urban,0,Phone,Mens E-Mail,1
12,1) $0 - $100,87.62,1,0,Urban,1,Phone,Mens E-Mail,0
3,1) $0 - $100,29.99,1,0,Surburban,0,Phone,Mens E-Mail,0
3,1) $0 - $100,29.99,0,1,Urban,0,Web,Womens E-Mail,0
7,1) $0 - $100,59.96,1,0,Urban,1,Web,Womens E-Mail,0
7,1) $0 - $100,78.49,0,1,Rural,0,Web,Womens E-Mail,0
2,1) $0 - $100,29.99,0,1,Surburban,0,Phone,Mens E-Mail,0
7,3) $200 - $350,206.8,1,0,Surburban,0,Phone,Womens E-Mail,0
7,3) $200 - $350,229.53,1,0,Surburban,0,Web,Mens E-Mail,1
1,4) $350 - $500,439.93,1,1,Rural,1,Multichannel,No E-Mail,0
10,3) $200 - $350,313.67,1,0,Rural,1,Phone,Womens E-Mail,1
7,1) $0 - $100,29.99,1,0,Surburban,1,Web,Womens E-Mail,0
3,1) $0 - $100,57.33,0,1,Surburban,0,Web,Womens E-Mail,1
2,3) $200 - $350,289.55,0,1,Rural,0,Phone,No E-Mail,1
5,1) $0 - $100,29.99,0,1,Surburban,1,Phone,Mens E-Mail,1
9,3) $200 - $350,274.29,1,0,Surburban,0,Web,No E-Mail,0
1,3) $200 - $350,293.37,1,0,Surburban,0,Phone,No E-Mail,0
12,1) $0 - $100,29.99,1,0,Urban,1,Phone,No E-Mail,0
1,4) $350 - $500,407.09,1,0,Surburban,0,Web,No E-Mail,0
1,2) $100 - $200,142.4,0,1,Surburban,0,Phone,No E-Mail,0
1,1) $0 - $100,29.99,0,1,Urban,1,Web,Mens E-Mail,0
12,3) $200 - $350,284.54,1,1,Surburban,0,Web,Mens E-Mail,0
2,1) $0 - $100,60.2,0,1,Surburban,1,Web,No E-Mail,0
4,"7) $1,000 +",1089.77,1,0,Urban,1,Multichannel,Mens E-Mail,0
7,1) $0 - $100,29.99,1,0,Surburban,1,Web,Womens E-Mail,0
1,5) $500 - $750,747.31,0,1,Rural,1,Web,Womens E-Mail,0
6,2) $100 - $200,136.63,1,0,Urban,1,Web,Womens E-Mail,0
10,1) $0 - $100,29.99,1,0,Rural,1,Web,Womens E-Mail,0
11,1) $0 - $100,54.11,1,0,Urban,1,Web,Womens E-Mail,0
1,"6) $750 - $1,000",790.36,1,1,Urban,1,Multichannel,Mens E-Mail,0
4,1) $0 - $100,36.49,1,0,Urban,1,Web,No E-Mail,0
12,3) $200 - $350,271.89,1,0,Rural,0,Web,Mens E-Mail,0
5,4) $350 - $500,399.46,1,0,Surburban,0,Web,Womens E-Mail,0
3,1) $0 - $100,39.83,0,1,Urban,1,Phone,Mens E-Mail,1
10,2) $100 - $200,153.58,1,0,Surburban,0,Phone,Womens E-Mail,0
5,3) $200 - $350,269.99,1,1,Surburban,0,Phone,Mens E-Mail,0
2,1) $0 - $100,29.99,1,0,Urban,1,Web,Womens E-Mail,0
4,3) $200 - $350,292.61,1,0,Surburban,0,Multichannel,No E-Mail,0
2,5) $500 - $750,576.02,0,1,Surburban,1,Web,Womens E-Mail,0
6,1) $0 - $100,29.99,1,0,Surburban,0,Web,No E-Mail,0
9,2) $100 - $200,116.3,1,0,Rural,1,Web,Mens E-Mail,1
5,1) $0 - $100,29.99,1,0,Surburban,0,Web,No E-Mail,0
3,1) $0 - $100,29.99,0,1,Urban,1,Web,No E-Mail,0
7,"6) $750 - $1,000",968.65,1,1,Surburban,1,Web,Womens E-Mail,0
7,1) $0 - $100,39.78,0,1,Surburban,0,Web,Mens E-Mail,0
9,3) $200 - $350,311.81,1,0,Urban,0,Multichannel,Womens E-Mail,1
1,5) $500 - $750,720.17,1,1,Urban,1,Phone,Mens E-Mail,0
4,1) $0 - $100,69.08,0,1,Urban,0,Phone,Mens E-Mail,0
12,1) $0 - $100,80.56,1,0,Urban,0,Web,Womens E-Mail,0
1,3) $200 - $350,301.19,1,0,Surburban,1,Web,No E-Mail,0
10,3) $200 - $350,307.64,0,1,Urban,0,Multichannel,Mens E-Mail,0
7,4) $350 - $500,481.56,1,0,Surburban,0,Web,Mens E-Mail,0
10,1) $0 - $100,29.99,0,1,Surburban,0,Web,No E-Mail,0
1,"6) $750 - $1,000",895.43,0,1,Surburban,1,Web,Womens E-Mail,0
5,4) $350 - $500,425.1,1,0,Rural,1,Phone,Mens E-Mail,0
10,1) $0 - $100,36.28,1,0,Urban,1,Web,No E-Mail,0
4,4) $350 - $500,413.46,0,1,Rural,0,Phone,Womens E-Mail,0
7,1) $0 - $100,32.42,1,0,Surburban,0,Phone,No E-Mail,0
10,2) $100 - $200,170.32,1,0,Urban,1,Phone,Womens E-Mail,0
1,2) $100 - $200,150.93,1,0,Surburban,0,Web,No E-Mail,0
11,3) $200 - $350,223.39,1,0,Rural,1,Phone,Womens E-Mail,0
1,5) $500 - $750,506.51,1,0,Urban,1,Multichannel,No E-Mail,0
8,5) $500 - $750,575.62,1,1,Urban,1,Multichannel,Mens E-Mail,0
3,1) $0 - $100,29.99,0,1,Surburban,0,Web,Womens E-Mail,1
2,2) $100 - $200,145.76,0,1,Surburban,1,Web,No E-Mail,1
1,1) $0 - $100,29.99,1,0,Rural,1,Phone,Womens E-Mail,0
8,4) $350 - $500,428.0,1,0,Surburban,1,Multichannel,No E-Mail,0
6,5) $500 - $750,604.39,1,1,Urban,1,Phone,No E-Mail,0
8,2) $100 - $200,171.88,1,0,Surburban,0,Phone,No E-Mail,0
4,4) $350 - $500,370.86,0,1,Surburban,0,Multichannel,Womens E-Mail,0
8,2) $100 - $200,138.62,0,1,Urban,1,Web,Womens E-Mail,0
7,1) $0 - $100,29.99,1,0,Surburban,1,Web,Mens E-Mail,0
1,3) $200 - $350,209.98,1,0,Surburban,0,Web,No E-Mail,1
3,2) $100 - $200,166.0,0,1,Urban,0,Web,No E-Mail,0
10,1) $0 - $100,88.37,0,1,Urban,0,Phone,Womens E-Mail,1
8,3) $200 - $350,336.76,0,1,Surburban,0,Phone,Mens E-Mail,0
1,1) $0 - $100,60.71,0,1,Rural,1,Phone,Womens E-Mail,0
4,4) $350 - $500,356.73,0,1,Surburban,0,Web,No E-Mail,0
4,1) $0 - $100,52.12,1,0,Urban,0,Phone,Mens E-Mail,0
7,4) $350 - $500,406.7,0,1,Surburban,1,Phone,Mens E-Mail,0
6,3) $200 - $350,277.81,1,0,Surburban,1,Multichannel,No E-Mail,0
1,2) $100 - $200,181.98,0,1,Urban,1,Web,Mens E-Mail,0
2,2) $100 - $200,112.13,1,0,Urban,1,Web,Womens E-Mail,0
5,1) $0 - $100,29.99,0,1,Rural,1,Web,No E-Mail,0
5,4) $350 - $500,439.26,1,0,Surburban,0,Multichannel,Womens E-Mail,0
8,1) $0 - $100,64.16,0,1,Surburban,0,Web,Womens E-Mail,0
5,1) $0 - $100,29.99,0,1,Surburban,0,Web,No E-Mail,1
6,1) $0 - $100,29.99,0,1,Urban,1,Web,Mens E-Mail,0
2,5) $500 - $750,591.95,0,1,Urban,1,Multichannel,Womens E-Mail,0
8,2) $100 - $200,130.31,1,0,Surburban,1,Phone,No E-Mail,0
3,1) $0 - $100,65.26,1,0,Urban,0,Web,Mens E-Mail,1
10,2) $100 - $200,132.46,1,0,Urban,0,Phone,Womens E-Mail,0
4,3) $200 - $350,225.89,1,1,Rural,1,Web,Womens E-Mail,0
2,2) $100 - $200,115.56,0,1,Surburban,1,Web,No E-Mail,0
8,2) $100 - $200,104.94,0,1,Urban,0,Phone,No E-Mail,0
7,1) $0 - $100,69.44,1,0,Rural,0,Web,Mens E-Mail,1
10,1) $0 - $100,47.47,0,1,Surburban,0,Phone,Womens E-Mail,0
1,3) $200 - $350,215.08,0,1,Surburban,0,Web,Womens E-Mail,1
2,3) $200 - $350,224.89,1,1,Urban,0,Multichannel,No E-Mail,0
9,3) $200 - $350,201.75,1,1,Surburban,0,Phone,Womens E-Mail,0
5,4) $350 - $500,354.03,1,0,Urban,0,Web,Mens E-Mail,0
10,2) $100 - $200,151.43,1,0,Urban,0,Web,No E-Mail,0
11,2) $100 - $200,120.14,1,0,Urban,0,Web,Mens E-Mail,0
5,2) $100 - $200,159.41,0,1,Surburban,1,Phone,Womens E-Mail,1
5,3) $200 - $350,290.86,1,0,Urban,1,Web,No E-Mail,0
4,1) $0 - $100,87.2,0,1,Surburban,1,Phone,Womens E-Mail,1
11,1) $0 - $100,81.06,1,0,Urban,0,Web,Mens E-Mail,0
10,1) $0 - $100,55.11,1,0,Urban,1,Web,Mens E-Mail,0
1,5) $500 - $750,513.83,0,1,Surburban,1,Multichannel,Mens E-Mail,0
4,"6) $750 - $1,000",770.38,0,1,Rural,1,Multichannel,No E-Mail,0
1,1) $0 - $100,33.5,1,0,Surburban,0,Web,Mens E-Mail,0
2,1) $0 - $100,56.25,1,0,Surburban,1,Phone,Mens E-Mail,0
2,"7) $1,000 +",1093.92,1,1,Surburban,1,Web,No E-Mail,0
1,"6) $750 - $1,000",752.8,1,1,Urban,1,Phone,No E-Mail,0
2,2) $100 - $200,199.95,1,0,Surburban,1,Phone,No E-Mail,0
9,3) $200 - $350,239.91,0,1,Rural,0,Phone,No E-Mail,0
8,1) $0 - $100,43.16,0,1,Urban,1,Phone,No E-Mail,0
2,4) $350 - $500,418.81,0,1,Surburban,0,Multichannel,No E-Mail,0
9,3) $200 - $350,318.52,0,1,Urban,0,Web,Womens E-Mail,0
1,2) $100 - $200,109.26,0,1,Surburban,1,Web,Womens E-Mail,1
3,1) $0 - $100,67.4,1,0,Surburban,0,Web,Mens E-Mail,0
9,2) $100 - $200,135.02,1,0,Surburban,1,Web,Womens E-Mail,0
10,1) $0 - $100,54.25,0,1,Surburban,0,Web,Mens E-Mail,0
3,1) $0 - $100,55.34,1,0,Surburban,1,Phone,Womens E-Mail,0
4,3) $200 - $350,297.8,1,1,Urban,0,Phone,Womens E-Mail,1
4,2) $100 - $200,146.49,0,1,Surburban,0,Phone,Womens E-Mail,0
7,3) $200 - $350,329.26,0,1,Urban,0,Web,Mens E-Mail,0
1,1) $0 - $100,29.99,1,0,Rural,1,Phone,Mens E-Mail,0
4,3) $200 - $350,249.61,0,1,Urban,1,Phone,Womens E-Mail,0
5,1) $0 - $100,39.52,1,0,Surburban,1,Phone,Mens E-Mail,0
1,3) $200 - $350,307.58,1,0,Surburban,0,Multichannel,No E-Mail,0
6,1) $0 - $100,92.32,0,1,Urban,0,Phone,Mens E-Mail,0
6,4) $350 - $500,464.17,0,1,Surburban,0,Multichannel,Womens E-Mail,0
6,1) $0 - $100,29.99,1,0,Surburban,1,Web,Womens E-Mail,0
2,4) $350 - $500,435.33,0,1,Surburban,0,Web,Womens E-Mail,0
10,4) $350 - $500,375.9,0,1,Urban,0,Web,Mens E-Mail,0
9,1) $0 - $100,29.99,1,0,Urban,0,Web,Mens E-Mail,0
9,3) $200 - $350,220.51,1,0,Urban,0,Multichannel,Mens E-Mail,0
5,2) $100 - $200,180.28,0,1,Surburban,0,Phone,Womens E-Mail,0
6,1) $0 - $100,78.69,0,1,Surburban,0,Phone,Mens E-Mail,0
2,4) $350 - $500,350.48,1,0,Urban,1,Web,Womens E-Mail,0
3,4) $350 - $500,376.14,1,0,Surburban,0,Phone,No E-Mail,0
1,2) $100 - $200,179.63,1,0,Surburban,0,Phone,Mens E-Mail,1
6,2) $100 - $200,164.51,1,0,Surburban,0,Phone,Womens E-Mail,1
8,1) $0 - $100,59.76,0,1,Urban,1,Web,Mens E-Mail,0
11,1) $0 - $100,29.99,0,1,Surburban,0,Web,Womens E-Mail,0
2,4) $350 - $500,407.64,0,1,Urban,1,Web,Womens E-Mail,0
1,2) $100 - $200,143.0,0,1,Urban,0,Phone,Womens E-Mail,0
4,3) $200 - $350,320.17,0,1,Urban,1,Phone,Mens E-Mail,0
1,2) $100 - $200,103.07,1,0,Surburban,0,Web,Mens E-Mail,0
10,1) $0 - $100,35.84,1,0,Urban,1,Phone,No E-Mail,0
3,2) $100 - $200,190.66,0,1,Surburban,1,Web,Womens E-Mail,0
2,1) $0 - $100,90.91,1,0,Surburban,0,Web,Mens E-Mail,0
5,3) $200 - $350,215.03,0,1,Urban,1,Web,No E-Mail,0
1,"6) $750 - $1,000",856.4,0,1,Urban,1,Web,No E-Mail,0
10,2) $100 - $200,139.83,1,0,Urban,1,Phone,Mens E-Mail,0
10,3) $200 - $350,245.09,1,0,Urban,0,Multichannel,No E-Mail,0
6,2) $100 - $200,127.2,0,1,Surburban,0,Phone,No E-Mail,0
1,4) $350 - $500,470.65,1,0,Urban,0,Phone,Mens E-Mail,0
1,1) $0 - $100,59.13,1,0,Urban,1,Web,Mens E-Mail,0
3,3) $200 - $350,327.1,1,0,Surburban,1,Web,No E-Mail,0
1,4) $350 - $500,399.72,1,1,Surburban,0,Phone,Mens E-Mail,1
3,1) $0 - $100,29.99,1,0,Urban,0,Phone,No E-Mail,0
6,4) $350 - $500,398.03,1,1,Surburban,0,Phone,No E-Mail,0
4,2) $100 - $200,134.24,0,1,Urban,0,Web,Mens E-Mail,1
10,3) $200 - $350,290.55,0,1,Surburban,0,Web,Mens E-Mail,0
7,1) $0 - $100,29.99,1,0,Surburban,0,Web,No E-Mail,0
4,1) $0 - $100,87.69,1,0,Surburban,0,Web,Mens E-Mail,0
10,3) $200 - $350,335.77,0,1,Rural,0,Multichannel,Womens E-Mail,0
12,4) $350 - $500,465.37,0,1,Rural,1,Multichannel,No E-Mail,0
12,1) $0 - $100,75.26,1,0,Urban,1,Phone,Womens E-Mail,0
10,3) $200 - $350,327.18,0,1,Urban,0,Phone,Womens E-Mail,0
1,2) $100 - $200,188.89,0,1,Surburban,1,Web,No E-Mail,0
4,1) $0 - $100,49.8,1,0,Urban,1,Web,Mens E-Mail,0
7,5) $500 - $750,688.51,1,1,Rural,1,Multichannel,Womens E-Mail,0
3,3) $200 - $350,229.42,0,1,Rural,0,Multichannel,No E-Mail,0
1,3) $200 - $350,253.18,0,1,Surburban,0,Multichannel,Mens E-Mail,0
2,2) $100 - $200,156.4,0,1,Surburban,0,Web,Mens E-Mail,0
2,2) $100 - $200,196.93,0,1,Rural,1,Web,Womens E-Mail,0
4,5) $500 - $750,557.47,1,0,Urban,1,Web,No E-Mail,0
12,2) $100 - $200,177.66,1,0,Surburban,0,Phone,Womens E-Mail,1
9,1) $0 - $100,29.99,0,1,Surburban,0,Phone,Womens E-Mail,0
11,2) $100 - $200,140.07,0,1,Urban,1,Web,Mens E-Mail,0
10,2) $100 - $200,168.04,1,0,Urban,0,Web,No E-Mail,0
5,2) $100 - $200,173.65,1,0,Urban,0,Web,Womens E-Mail,0
4,2) $100 - $200,164.7,1,0,Surburban,0,Phone,No E-Mail,0
2,1) $0 - $100,57.53,1,0,Urban,1,Phone,No E-Mail,0
10,1) $0 - $100,29.99,1,0,Urban,0,Web,Womens E-Mail,0
3,2) $100 - $200,188.19,1,0,Urban,0,Phone,Mens E-Mail,1
10,1) $0 - $100,29.99,0,1,Surburban,0,Web,No E-Mail,1
1,1) $0 - $100,35.23,1,0,Urban,1,Phone,Mens E-Mail,0
4,1) $0 - $100,63.22,1,0,Surburban,0,Web,Womens E-Mail,0
4,5) $500 - $750,550.59,1,0,Surburban,1,Web,No E-Mail,0
6,3) $200 - $350,232.94,1,0,Surburban,1,Multichannel,Mens E-Mail,0
11,1) $0 - $100,91.23,1,0,Urban,0,Web,Womens E-Mail,0
2,5) $500 - $750,571.53,1,0,Rural,1,Multichannel,Womens E-Mail,0
1,2) $100 - $200,169.31,0,1,Rural,1,Web,Womens E-Mail,0
10,3) $200 - $350,205.88,1,0,Urban,0,Phone,No E-Mail,0
1,"7) $1,000 +",1281.48,1,0,Urban,1,Phone,Mens E-Mail,0
3,1) $0 - $100,29.99,1,0,Urban,0,Web,No E-Mail,1
3,5) $500 - $750,542.16,1,0,Urban,1,Phone,Mens E-Mail,1
7,4) $350 - $500,424.6,0,1,Surburban,1,Phone,Womens E-Mail,0
6,5) $500 - $750,507.25,0,1,Urban,1,Phone,Mens E-Mail,0
10,1) $0 - $100,29.99,1,0,Rural,0,Web,Mens E-Mail,0
2,4) $350 - $500,373.14,0,1,Urban,0,Multichannel,Womens E-Mail,1
7,1) $0 - $100,60.02,1,0,Surburban,1,Phone,Mens E-Mail,0
1,1) $0 - $100,68.5,0,1,Urban,0,Phone,No E-Mail,0
